tmdb_person_id,name,biography,birthday,place_of_birth,profile_path,popularity
1324582,Atsuko Ishizuka,"During her education at art school, Ishizuka made a number of short animated films for her own enjoyment, often set to music. One of these films, Gravitation, which was later featured at the 2005 Tehran International Short Film Festival, caught the attention of both the Japanese broadcasting giant NHK and Madhouse. NHK quickly contacted Atsuko with an offer to have her animate a music video segment for the popular and long running short film program Minna no Uta (Everyone's Songs), which was designed to highlight upcoming independent animators and musicians. However, by this time Ishizuka had already been hired by Madhouse as a production assistant, and feeling that it would not be right to accept freelance work outside of the studio, she turned them down. However, the Minna no Uta staff was unwilling to give up, and they requested that Madhouse take on the music video project with Ishizuka as director. The studio agreed, and in 2004, Atsuko rose through the ranks for her first professional film, The Moon Waltz.",1981-09-03,"Okazaki, Aichi, Japan",/yGQNKilpHpGrL2SDDf7kIncnqzP.jpg,0.4252
9660,Tetsuya Nomura,"Tetsuya Nomura (野村 哲也, Nomura Tetsuya; born October 8, 1970) is a Japanese video game artist, designer, producer, and director working for Square Enix. He was hired by Square initially as a monster designer for Final Fantasy V (1992), before being shifted towards secondary character designer alongside Yoshitaka Amano for Final Fantasy VI (1994). Final Fantasy VII (1997) had him working in the original story alongside Hironobu Sakaguchi, and marked his debut as the lead character designer, a capacity he would retain for several future installments of the series, as well as other Square Enix titles such as The Bouncer and The World Ends with You. He also created the characters Cactuar, Gilgamesh, and Tonberry.

Additionally, Nomura created and has led the development as director of the Kingdom Hearts series since its inception in 2002 and has been creative producer in The World Ends with You series. He has also directed the 2005 film Final Fantasy VII: Advent Children, and directed Final Fantasy VII Remake (2020), and served as creative director for the sequel Final Fantasy VII Rebirth (2024).

Description above from the Wikipedia article Tetsuya Nomura, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1970-10-08,"Kōchi Prefecture, Japan",/wc28u8Jk9HOuMdQxHkRV7Ongp8p.jpg,0.5833
1201162,Shunsuke Tada,,,Unknown,,0.8824
239858,Sunao Katabuchi,"Sunao Katabuchi is a Japanese animation director, screenwriter, and storyboard artist. He is director of Contrail Co. Ltd. He has been a part-time lecturer at Nihon University College of Art since 2006, and a Project Professor at the college of Art of at the same university since 2018.",1960-08-10,"Hirakata, Osaka, Japan",/eURX76p8cGD9gEwMDoCZkG4ri5Y.jpg,0.949
82464,Chūsei Sone,"Director, screenwriter, and producer.",1937-10-01,"Komochi, Gunma Prefecture, Japan",/jhJdlXfwsbqXOzsCYQLSFH7vG1F.jpg,0.8278
71080,Hitoshi Matsumoto,"Hitoshi Matsumoto (born September 8, 1963), or Matchan as he is commonly known, is a Japanese comedian best known as the boke half the popular owarai duo Downtown alongside Masatoshi Hamada. Born in Hyōgo Prefecture, he usually speaks in the Kansai dialect.

He directed, produced, and starred in the 2007 movie Big Man Japan, which was shown at the 2007 Cannes Film Festival in the Directors' Fortnight section.",1963-09-08,"Amagasaki, Hyōgo, Japon",/Iq03j6VtB9V1wtq8fvGNEcmW9.jpg,0.9493
127890,Hiroshi Nishitani,Hiroshi Nishitani is a Japanese film director.,1962-02-12,"Tokyo, Japan",,0.7095
4477780,Mori Masaki,"Mori Masaki (真崎 守, Masaki Mori; born March 10, 1941 in Yokohama) is a Japanese manga artist, screenwriter and director.

Masaki's career as an animator began in 1963 at Mushi Production, where he was involved in Kimba the White Lion. After a few more works, he left the studio in 1968 and dedicated himself to his work as a mangaka. In 1979, he returned to the film and worked at Studio Madhouse as a director and screenwriter. He directed Natsu e no Tobira and Haguregumo, later wrote the screenplay for the film adaptation of the manga Barefoot Gen and the sci-fi adventure Toki no Tabibito: Time Stranger. In 1986, Masaki retired from anime, although he continued his manga career into the 90s.",1941-03-10,"Yokohama, Japan",/jAItQ7xjKAzZuNZpuUw6BsS1CkR.jpg,1.0741
1735355,Kentaro Hagiwara,,1980-12-13,Unknown,,0.6329
1153074,Iku Suzuki,Iku Suzuki (born: Hajime Suzuki) is a Japanese anime director.,,Unknown,,0.3121
84990,Isao Yukisada,"Isao Yukisada (行定 勲, Yukisada Isao, born August 3, 1968) is a Japanese film director from Kumamoto. He served as assistant director on Shunji Iwai's Love Letter, April Story, and Swallowtail Butterfly.",1968-08-03,"Kumamoto, Kumamoto Prefecture, Japan",/rRXS1r13t0OcZYJf0m0df24wXLp.jpg,0.9113
52811,Takeshi Furusawa,Takeshi Furusawa is a Japanese film director and screenwriter. Takeshi Furusawa is a Japanese film director and screenwriter known for his contributions to the horror and thriller genres. Furusawa's films are recognized for their suspenseful narratives and unique storytelling techniques.,1972-10-22,"Tokyo, Japan",,0.4746
1835795,Risako Yoshida,"Risako Yoshida is an animator, storyboarder and episode director.",,Unknown,,0.5703
2167256,Akiyo Ohashi,,,Unknown,,0.5078
138416,Kazuhiko Yamaguchi,"Born in Nagano Prefecture, Yamaguchi graduated from Waseda University and began working at the Tōei studios in Kyoto. He directed a number of action movie series in the 1970s and has also helmed many TV movies.",1937-02-05,"Nagano Prefecture, Japan",/3bwJXbGUBsfNKwrXuDzmR2kG7SC.jpg,0.4814
1748363,Kōji Shintoku,,,Unknown,,0.3748
30561,Jun Fukuda,"Jun Fukuda was a Japanese film director, screenwriter and producer. Fukuda joined Toho in 1946 and ventured into the realm of assistant director, being taken under the wing by directors like Hiroshi Inagaki. By 1959, Fukuda began a career as a full-fledged director,  his early work slanted more toward mystery, but then expand into more comedic work by the mid-1960s, such as the spy spoof Iron Finger (1965). He also wrote the screenplay for the unproduced The Invisible Man vs. the Human Torch.  Fukuda would eventually be tasked to direct a Godzilla movie, Ebirah, Horror of the Deep (1966). Fukuda would go on to direct various entries in Toho's popular Young Guy series and Konto 55, however he would be best known for his Godzilla work, becoming the ""go to"" director for special effects productions after Ishirō Honda. Fukuda famously harbored a harsh view of his work in the Godzilla series saying, ""The monsters became the stars, and the human characters were put into the background."" and ""I give all of my Godzilla films a minus score.""  Despite the distain he felt towards his work, he was pleasantly surprised to find fans who enjoyed his film and who sent him well wishing cards near the end of his life.",1923-02-17,"Manshu, Korea",/3ZVBiyMohlAi76EPkFZXjpkf4ju.jpg,0.7417
1869796,Tatsuma Minamikawa,,,Unknown,,0.7225
590923,Umanosuke Iida,,1961-04-30,"Hokkaido Prefecture, Japan",/8nbGrW2ddcAAswhEEE25BszMpe4.jpg,0.7877
1320964,Takashi Hashimoto,"Takashi Hashimoto is a prolific effects animator whose work synthesizes almost every major tendency in the field since the 90s.

After graduating from high school, he joined Jungle Jim.

After working for the company for four years, he became a freelancer and held seats at various companies including AIC, Studio Fantasia, D.A.S.T, and Studio 88. Currently a freelance artist, he works on a multitude of different animation projects.",1965-09-30,"Kiryu, Gunma, Japan",,0.7221
931823,Hikaru Kondô,Hikari Kondou is an animation producer and the founder of animation studio ufotable.,1969-12-02,"Tokushima Prefecture, Japan",/dx0HSudiHj44EEFffMBIwa4LXge.jpg,1.3278
239818,Hiroshi Fukutomi,"Hiroshi Fukutomi (Fukutomi Hiroshi, 福冨 博, July 25, 1950, former name: 福富 博 (same reading)) is a Japanese animation director born in Kōchi prefecture. His wife is animator Kazuko Fukutomi (福富和子).

He joined A Production (currently Shin-Ei Douga) after dropping out of Tokyo Designer Gakuin (currently Tokyo Net Wave). In 1982, he founded the animation production company Animaru-Ya (currently Ekura Animaru) with Yoshinubo Sanada, Toshiyuki Honda, and Makoto Moriwaki, who were then the staff producing Kaibutsu-kun. Currently, he is mainly active in Studio Comet works.",1950-07-25,"Kochi, Kochi Prefecture, Japan",,0.5015
76171,Noboru Iguchi,"Noboru Iguchi is a Japanese film director, screenwriter and actor. He has worked as a director in adult video (AV) as well as in the horror and gore genres.

Iguchi was born on June 28, 1969. In an interview he said he was influenced in his work by the ghost houses and freak shows he went to as a child in Japanese play lands, and that his aim in his films is to both entertain and surprise.

In his extensive career as an AV director, Iguchi has worked for a number of studios including CineMagic, Big Morkal, Try-Heart, h.m.p and Soft On Demand (SOD). Nana Natsume and Risa Coda have been among the AV Idols featured in his videos. His videos have explored several of the typical Japanese AV genres, from incest for SOD to ""nakadashi"", bondage, group sex and some enema fetish videos for CineMagic.

His video Final Pussy starring Nana Natsume won the Best Rental Video Award at the 2005 SOD Awards. In this January 2005 video, Natsume's character (as the result of a military experiment gone wrong) has guns burst from her breasts when sexually aroused. The special makeup effects were by Yoshihiro Nishimura.

One of Iguchi's early movies was Kurushime-san (クルシメさん) which was first released in 1997. Iguchi was screenwriter, editor, cinematographer and director of the black comedy-horror film which won the Encouragement Prize at the 1998 Yubari International Fantastic Film Festival and starred Aki Arai, Miako Tadano and Tomoko Matsunashi.

In 2003, Iguchi wrote and directed the horror comedy A Larva to Love (恋する幼虫, Koi-suru Yōchū) (with effects by Yoshihiro Nishimura) about a strange relationship involving a boy, a girl, and a parasite. Iguchi also wrote and directed the February 2006 film Sukeban Boy or Oira Sukeban (おいら女蛮 スケバン, Oira sukeban) with AV star Asami. At an interview at the New York Asian Film Festival, Iguchi told of an incident where one of the actresses in the movie, completely unaware of her role, balked at doing action scenes totally naked. According to Iguchi ""We had to calm her down, capture her, and convince her to do the job ... We made it so she could not leave the set ... [in] America we would have been sued.""

Later in 2006, Iguchi directed Cat-Eyed Boy (猫目小僧, Nekome kozō) based on the manga by Kazuo Umezu. The movie, with gravure idol Miku Ishida, Asami Kumakiri, Hiromasa Taguchi, Naoto Takenaka and Kanji Tsuda, was released theatrically in Japan in June 2006, and on DVD in October of the same year.

Iguchi was also both the screenwriter and director for the 2008 action and gore cult film The Machine Girl (片腕マシンガール, Kataude mashin gāru) where he once again teamed up with Yoshihiro Nishimura who did the special effects and makeup effects. Iguchi said he wanted to make an action movie with a woman fighting and it started with just an idea of a girl losing her arm and going out for revenge and was originally called ""One Armed Big Busty Girl"" - the machine gun came later. Iguchi was a special guest at the 2009 and 2010 New York Asian Film Festival.

In 2010, Iguchi directed his largest-budgeted feature, the action film Karate-Robo Zaborgar, based on the popular 1970s television series Denjin Zaborger. He followed it with the scatological horror/comedy Zombie Ass in 2011.",1969-06-28,"Tokyo, Japan",/b0V30wnCbz7jTEJs48EFwU2aLAI.jpg,1.1147
72496,Yoji Yamada,"Yoji Yamada (山田 洋次 Yamada Yōji, born September 13, 1931 in Toyonaka City, Osaka, Japan) is a Japanese film director best known for his Otoko wa Tsurai yo series of films.

He was born in Osaka. But because of the work of his father, who was an engineer for the South Manchuria Railway, from the age of 2 he was brought up in Manchuria. Following the end of World War II, he came back to Japan and subsequently he lived in Ube in Yamaguchi Prefecture.

After receiving his degree from Tokyo University in 1954, he entered Shochiku and worked under Yoshitaro Nomura as a scriptwriter or as an assistant director.

He has won many awards throughout his lengthy career and is well respected in Japan and by critics throughout the world. He wrote his first screenplay in 1958, and directed his first movie in 1961. Yamada continues to make movies to this day.

He once served as president of the Directors Guild of Japan, and is currently a guest professor of Ritsumeikan University.",1931-09-13,"Osaka, Japan",/jo36yP332dOCEZjpWQjKcr7Hatr.jpg,2.8345
77177,Fuminori Kizaki,,1969-03-10,"Fukuoka Prefecture, Japan",/qihRzcgFJLdL16AHqoyEHNSsGez.jpg,0.7772
58614,SABU,"Sabu (サブ, Sabu, born November 18, 1964) is the pseudonym of Japanese actor and director Hiroyuki Tanaka.

Born in Wakayama Prefecture, Sabu studied at an Osaka fashion school before deciding to go to Tokyo to become a professional musician. It was suggested he try acting and in 1986 he made his film debut in Sorobanzuku. He earned his first starring role in the 1991 World Apartment Horror, a live-action film directed by Katsuhiro Ōtomo of Akira fame. Working from a script he wrote himself, he made his directorial debut with the 1996 Dangan Runner, a film that set his early style of ""quirky action-comedies propelled by characters who hurtle headlong though squirming narratives steered more by the forces of incidence and coincidence than the actions of the protagonists themselves."" Shin'ichi Tsutsumi played the lead in Sabu's first five films. Blessing Bell, starring Susumu Terajima (who has played minor roles in nearly all of Sabu's films), was a turn away from his kinetic, parodic, and black comedy narratives, and earned the NETPAC Award at the 2003 Berlin Film Festival. Later films featured the J-pop band V6. In 2009, he directed The Crab Cannery Ship, a modern adaptation of a classic of Japanese proletarian literature written by Takiji Kobayashi.

He has continued to work as an actor, such as in Takashi Miike's Ichi the Killer (2001).

His film Chasuke's Journey was selected to be screened in the main competition section of the 65th Berlin International Film Festival.",1964-11-18,"Wakayama, Japan",/qNjgqL33xBtkEJfW51G2Cc08pu6.jpg,1.0647
592039,Kazuya Nomura,"Kazuya Nomura (野村 和也, Nomura Kazuya, born in 1978) is a Japanese director, animator, and storyboard artist.",1978-01-01,Unknown,/8t3kO8gjopSQMwoCRNxoXyBMYC.jpg,0.6982
16142,Kazuchika Kise,"Kazuchika Kise (黄瀬 和哉, Kise Kazuchika, March 6, 1965) is an animator, animation director, and director from Osaka, Japan. He works for the animation studio Production I.G.",1965-03-06,"Osaka, Japan",/rb6egNuug67QbRMgYLPMKN45FKL.jpg,0.6526
1281397,Youichi Fujita,"Yōichi Fujita (藤田 陽一, Fujita Yōichi, born 1978) is a Japanese anime director and episode director.",,Unknown,/g1RhmBPMJ80wckf9mB5Xnu2Dmb1.jpg,0.6222
124640,Koji Shiraishi,"Koji Shiraishi (白石 晃士 Shiraishi Kōji) was born and raised in Fukuoka, Japan. After graduating from Kyushu Sangyo University with a degree in film making, he went on to work as an assistant director on such films as Gakuryū Ishii's August in the Water and Shinobu Yaguchi's WATER BOYS.

He cites Gakuryū Ishii as his favorite Japanese director, and Ishii's 1980 Crazy Thunder Road as his favorite film. Other directors he admires include John Carpenter, Brian De Palma, Abbas Kiarostami, and Sam Raimi, and films he enjoy include the original Dawn of the Dead (1978), The Evil Dead (1981), Evil Dead 2: Dead by Dawn (1987), The Thing (1982), and The Texas Chain Saw Massacre (1974)",1973-06-01,"Fukuoka, Japan",/sXQBfqcyqSa5sIr1OF2pMlcWfwt.jpg,1.3866
1250472,Kenichi Kasai,"Kenichi Kasai (カサヰ ケンイチ, formerly 笠井 賢一, Kasai Ken'ichi, April 12, 1970) is a Japanese anime director and filmmaker from the city of Hida, Gifu Prefecture. His representative works include Wagamama ☆ Fairy Mirumo de Pon!, Major, Hachimitsu to Clover and Nodame Cantabile.",1970-04-12,"Hida, Gifu, Japan",,0.4257
80702,Kenji Misumi,"From Wikipedia, the free encyclopedia

Kenji Misumi (三隅 研次 Misumi Kenji) (2 March 1921, Kyoto, Japan - 24 September 1975) was a notable Japanese film director. He created films such as Lone Wolf and Cub and the initial film in the long-running Zatoichi (座頭市, Zatōichi) series.

He died at age 53.

Description above from the Wikipedia article Kenji Misumi, licensed under CC-BY-SA, full list of contributors on Wikipedia.

​",1921-03-02,"Kyoto, Japan",/Aw8ji1DkR1WgP5uv0TpL3vfuvmI.jpg,0.8816
76936,Yojiro Takita,"Yojiro Takita (滝田 洋二郎 Takita Yōjirō, born December 4, 1955) is a Japanese filmmaker.

His 2008 film Departures (おくりびと Okuribito) won the Best Foreign Language Film at the U.S. 81st Academy Awards, in an upset over the Israeli Animated documentary, Waltz with Bashir. He also won the 2009 Japan Academy Prize for Director of the Year, among other accolades, for the film.",1955-12-04,"Toyama, Japan",/85Ask7tvPJkIPtihAUyS8yyZB6J.jpg,0.9664
58608,Shinya Tsukamoto,Shinya Tsukamoto is a Japanese film director and actor with a considerable cult following both domestically and abroad.,1960-01-01,"Shibuya, Tokyo, Japan",/eah3SWEeI6F5kz0HszDpobk8BKf.jpg,4.3225
1062401,Kenichi Takeshita,,,Unknown,,0.5062
566165,Yuki Tanada,"Yuki Tanada (タナダユキ, Tanada Yuki, born 12 August 1975) is a Japanese film director and screenwriter.

Born in Fukuoka Prefecture, Tanada pursued theater in high school before entering the Image Forum Institute of the Moving Image to study filmmaking. Her independently produced film Moru won the grand prize at the 2001 Pia Film Festival. Her next work, Takada Wataru: A Japanese Original, a documentary on a Japanese folk singer, was featured at the 2003 Tokyo International Film Festival. She won the Directors Guild of Japan New Directors Award for her 2008 film One Million Yen Girl. She has written the scripts for many of her films as well as contributed the script to Mika Ninagawa's Sakuran. She has also directed for television.

Description above from the Wikipedia article Yuki Tanada, licensed under CC BY-SA, full list of contributors on Wikipedia.",1975-08-12,"Kitakyushu, Fukuoka Prefecture, Japan",/3tyeAEIkNyMxCIGRk4dQ3hltKY7.jpg,0.5541
1481819,Tomoya Takahashi,"Tomoya Takahashi (高橋 知也, Takahashi Tomoya) is a Japanese director, script/screenwriter, episode director, storyboarder and animator.",,Japan,,0.6768
107563,Shunya Ito,"Director and screenwriter, Shunya Itō is a Japanese film director known for starting the Sasori / Female Prisoner Scorpion series of 1970s exploitation films starring Meiko Kaji.

He won Picture of the Year at the Japanese Academy Awards in 1985 with his film Gray Sunset,[2] a story of a man suffering from Alzheimer's disease. This thus became Japan's entry for the Academy Award for Best Foreign Language Film instead of Akira Kurosawa's Ran, which caused a slight uproar in Western media as many critics thought Ran had a real chance of winning whereas Gray Sunset was not even shortlisted. (Galbraith)

The above information is sourced from the Shunya Itō Wikipedia page.",1937-02-17,"Fukui, Fukui Prefecture, Japan",/qI0nsBsQHmaLeuBB3feyE3m1bPj.jpg,0.5542
31073,Kenta Fukasaku,"Kenta Fukasaku (深作 健太, Fukasaku Kenta; born September 15, 1972) is a Japanese filmmaker and screenwriter. He is the son of film director Kinji Fukasaku and actress Sanae Nakahara.",1972-09-15,"Tokyo, Japan",/pDSPbVTCaypO2046mJTgaRWgk4H.jpg,0.8079
109690,Yukio Noda,,1935-02-02,"Gobo, Wakayama Prefecture, Japan",,0.4785
1208173,Akihiko Yamashita,"Akihiko Yamashita (山下 明彦 Yamashita Akihiko, born February 6, 1966, Okayama Prefecture, Chūgoku, Japan) is a Studio Ghibli animator who is famous for Howl's Moving Castle and Giant Robo (OVA).

From Wikipedia, the free encyclopedia",1966-02-06,"Okayama Prefecture, Chūgoku, Japan",/6c4m5jiw2ZoCiYYAadEKDEJqPcM.jpg,0.8134
1508557,Takuya Okada,,,Unknown,,0.4054
50651,Takao Okawara,"​From Wikipedia, the free encyclopedia

Takao Okawara (born December 20, 1949 in Tokyo, Japan) is a Japanese film director, writer and producer.

Description above from the Wikipedia article Takao Okawara, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1949-12-20,"Tokyo, Japan",/fsYErii5tvkyesitPfSqv8UqCEd.jpg,0.56
2211359,Yusuke Hirota,,,Unknown,/xpgZ5Q39qTeI2VOtklMACBNBrym.jpg,0.3926
2388945,Loundraw,,1994-12-02,"Fukui, Japan",/9zuhdepCJIpqh9DubBtObp8lyLn.jpg,0.9503
1126222,Kazunori Ikegami,,,Unknown,,0.4112
228728,Shigeo Tanaka,,1907-01-07,"Chiba Prefecture, Japan",,0.423
76409,Noboru Ishiguro,"Noboru Ishiguro was born on August 24, 1938 in Tokyo, Japan. He is known for his work on Kagaku ninja tai Gatchaman (1972), Chôjikû Yôsai Macross: Ai Oboeteimasuka (1984), Megazone 23 (1985) Tytania (2008). He funded the Studio Artland in 1978.  He died on March 20, 2012 in Kawasaki, Kanagawa.",1938-08-24,"Tokyo, Japan",/3XF7rUIDxjWJhjTiCHgspPOC90I.jpg,0.6962
575084,Yuichiro Hirakawa,"He graduated from the Broadcasting Arts Department of Nihon Kogakuin College of Technology. In 2009, his drama ""JIN"" (TBS) won 33 domestic and international awards. In recent years, he directed the film ""Whisper of the heart"", the film ""The Promised Neverland"", the drama ""Stepmother and Daughter's Blues"" (TBS), and the drama ""Heaven and Hell: Two Psychos"" (TBS). He also directed the drama ""Burn the House Down"", which became a hot topic when it was released on Netflix in July 2023.",1972-01-23,"Oita, Japan",,0.7236
1977739,Yuta Murano,"Yuta Murano (村野 佑太, Murano Yūta) is a Japanese anime director and storyboard artist.",1984-09-24,"Numazu, Shizuoka, Japan",/zJEn8TINx52SRxrRXZ0fB5pRDeG.jpg,0.6216
25622,Yoshikazu Yasuhiko,"Yoshikazu Yasuhiko is a Japanese animator, manga artist, and occasional director in the anime industry.",1947-12-09,"Engaru, Monbetsu, Hokkaido, Japan",/vE2nD7MWvyUurDmvlDeORlHLGyI.jpg,1.0108
82461,Seijun Suzuki,"Seijun Suzuki born Seitaro Suzuki (24 May 1923 – 13 February 2017) was a Japanese filmmaker, actor, and screenwriter.  His films are renowned by film enthusiasts worldwide for their jarring visual style, irreverent humour, nihilistic cool and entertainment-over-logic sensibility. He made 40 predominately B-movies for the Nikkatsu Company between 1956 and 1967, working most prolifically in the yakuza genre. His increasingly surreal style began to draw the ire of the studio in 1963 and culminated in his ultimate dismissal for what is now regarded his magnum opus, Branded to Kill (1967), starring notable collaborator Joe Shishido. Suzuki successfully sued the studio for wrongful dismissal, but he was blacklisted for 10 years after that. As an independent filmmaker, he won critical acclaim and a Japanese Academy Award for his Taishō Trilogy, Zigeunerweisen (1980), Kagero-za (1981) and Yumeji (1991).

His films remained widely unknown outside of Japan until a series of theatrical retrospectives beginning in the mid 1980s, home video releases of key films such as Branded to Kill and Tokyo Drifter in the late 1990s and tributes by such acclaimed filmmakers as Jim Jarmusch, Takeshi Kitano, Wong Kar-wai and Quentin Tarantino signaled his international discovery. Suzuki has continued making films, albeit sporadically. In Japan, he is more commonly recognized as an actor for his numerous roles in Japanese films and television.

He passed away on February 13th, 2017.

Description above from the Wikipedia article Seijun Suzuki, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1923-05-24,"Nihonbashi, Tokyo, Japan",/15IyhDWxzRvrMTXhZX0uB95fq6s.jpg,1.3812
78371,Shigetsugu Yoshida,,1931-10-25,Unknown,/e9f1VLwjgM64y26kyY5f9o74Oxk.jpg,0.4943
1890183,Takashi Otsuka,,1981-02-23,"Osaka, Japan",/ickOdtcVUouOGm1hd7lpGBTTb7u.jpg,0.8946
17542,Toshio Matsumoto,"Toshio Matsumoto  (松本 俊夫 Matsumoto Toshio) (March 25, 1932 – April 12, 2017)  was a Japanese film director, a pioneer of avant-garde experimental movies, multimedia, and video in his homeland and abroad.  Matsumoto was born in Nagoya, Aichi, Japan and graduated from Tokyo University in 1955. His first short was Ginrin, which he made in 1955, however his most famous film is 1969's wildly experimental Funeral Parade of Roses (also known as Bara no soretsu). Funeral Parade of Roses influenced Stanley Kubrick's film A Clockwork Orange heavily. The film was a retelling of Oedipus Rex, featuring a trans person (portrayed by Pîta) trying to move up in the world of the Japanese hostess clubs.

Matsumoto published many books of photography and art and was a professor and dean of Arts at the Kyoto University of Art and Design. He was also the President of the Japan Society of Image Arts and Sciences.",1932-03-25,"Nagoya, Aichi, Japan",/h1Rms3lIyrSyNtwBTlSlolIzqp8.jpg,0.6174
1148284,Shuuji Iuchi,"Shuuji Iuchi (井内 秀治, Iuchi Shuuji) (September 15, 1950 – December 15, 2016) was a screenwriter original author, and a director of anime series. Iuchi directed Crush Gear Turbo, Mashin Hero Wataru, Mashin Hero Wataru 2, Cho Mashin Hero Wataru and several other series.

Graduated from Tokyo Designer Gakuin College.",1950-09-15,"Kanagawa Prefecture, Japan",,0.4269
937799,Masaya Fujimori,,1964-01-01,Unknown,,0.6164
1937966,Wataru Takahashi,,,Unknown,,0.9288
138865,Hisayasu Satō,"Hisayasu Sato is a Japanese exploitation film director. He has worked prolifically in the pinku eiga genre. He is known for his ""sledgehammer"" filmmaking style, and using his exploitation career to tackle serious subjects like obsession, alienation, perversion and voyeurism. He is famous for his ""guerilla shooting technique"" in which his actors appear on location in public and incorporate unknowing bystanders into the film. Hisayasu Sato’s often violent but highly visual works utilised a multitude of multimedia devices to reflect upon issues such as the power of the gaze, the dehumanising effects of technology and the loss of the individual’s sense of “self” that accompanied Japan’s period of economic boom in the late 80s.",1959-08-15,"Shizuoka, Shizuoka Prefecture, Japan",/n5MXbo3M6mKKvBUAyf5SSKMxjQb.jpg,1.281
130646,Nobuhiro Doi,"Nobuhiro Doi (土井裕泰, Doi Nobuhiro) is a Japanese television and film director. Doi graduated from Waseda University School of Economics and Politics

Affiliated with the drama production department of TBS TV and Content Production Department. As the leading director of TBS TV, he has directed so many masterpieces that if you are interested in Japanese dramas, there is no one who has not seen at least one drama directed by this director. Friends is the first Korean-Japanese collaboration drama produced to commemorate the joint hosting of the 2002 Korea-Japan World Cup . Directed by Nobuhiro Dodo.

After graduating from the Department of Political Science and Economics at Waseda University, he joined TBS TV in 1994 and continues to this day. Starting with Now, I'm Going to Meet You in 2004 , in addition to directing dramas, he also directs movies.",1964-04-11,"Hiroshima, Hiroshima Prefecture, Japan",/ga6N1oAC8yRra0GzlLHkyqORtoi.jpg,0.9532
1327767,Susumu Yamaguchi,,,Unknown,,0.3998
110467,Takuya Sato,"Takuya Sato (佐藤 卓哉, Satō Takuya) is a Japanese anime director and screenwriter from Miyagi prefecture.",1984-05-19,"Miyagi, Japan",,1.0439
233655,Kanji Wakabayashi,,1972-11-17,"Ayase, Kanagawa, Japan",/smhfXxP4CRXZwk2bPG7QAAullqJ.jpg,0.4937
1035,Paul Schrader,"Paul Joseph Schrader (born July 22, 1946) is an American screenwriter, film director, and film critic. He first became widely known for writing the screenplay of Martin Scorsese's Taxi Driver (1976). He later continued his collaboration with Scorsese, writing or co-writing Raging Bull (1980), The Last Temptation of Christ (1988), and Bringing Out the Dead (1999). Schrader has also directed 24 films, including Blue Collar (1978), Hardcore (1979), American Gigolo (1980), Cat People (1982), Mishima: A Life in Four Chapters (1985), Light Sleeper (1992), Affliction (1997), and First Reformed (2017); the latter earned him his first Academy Award nomination. Schrader's work frequently depicts troubled men struggling through an existential crisis that is then punctuated by a violent, cathartic event.

Raised in a strict Calvinist family, Schrader attended Calvin College before electing to pursue film studies at UCLA on the encouragement of film critic Pauline Kael. He then worked as a film scholar and critic, publishing the book Transcendental Style in Film: Ozu, Bresson, Dreyer (1972) before making the transition to screenwriting in 1974. The success of Taxi Driver in 1976 brought greater attention to his work, and Schrader began directing his own films beginning with Blue Collar (co-written with his brother, Leonard Schrader). His three most recent films have been described by Schrader as a loose trilogy: First Reformed (2017), The Card Counter (2021), and Master Gardener (2022).

Description above from the Wikipedia article Paul Schrader, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1946-07-22,"Grand Rapids, Michigan, USA",/ctRxgCUSRFudwFaPG2AanL71Y3V.jpg,1.8309
107730,Trần Anh Hùng,"Trần Anh Hùng (born December 23, 1962; Đà Nẵng) is a French filmmaker of Vietnamese ancestry.

Hùng was born in Mỹ Tho, South Vietnam. Following the fall of Saigon at the end of the Vietnam War in 1975, he immigrated to France at age 12. He majored in philosophy at a university in France. By chance, he saw Robert Bresson's film A Man Escaped and decided to study film instead. He went on to study photography at the Louis Lumiere Academy, which trains cinematographers.

Hùng has been at the forefront of a wave of acclaimed overseas Vietnamese cinema over the past two decades. His films have received international fame and acclaim, and his first three features were varied meditations on life in his home country Vietnam. Hùng's Oscar-nominated debut (for Best foreign film) was The Scent of Green Papaya (1993), which also won two top prizes at the Cannes Film Festival. His follow-up Cyclo (1995, which featured Hong Kong movie star Tony Leung Chiu-Wai), won the Golden Lion at the Venice International Film Festival. The Vertical Ray of the Sun, released in 2000, was the third film in his ""Vietnam trilogy."" After a sabbatical, Hùng returned with the noir psychological thriller I Come with the Rain (2009), which featured a star-studded international cast including Josh Hartnett and Elias Koteas. Hùng directed Norwegian Wood, an adaptation of Haruki Murakami's novel of the same name, which released in Japan in December 2010. After Eternity in 2016, his return in a French production, The The Pot-au-Feu, is announced in February 2022, with Juliette Binoche and Benoît Magimel in the cast.",1962-12-23,"Đà Nẵng, Central Vietnam",/c20fQOpz5NP9xJp0gZomkZD94Iu.jpg,0.9415
931824,Mitsuru Obunai,,1968-03-28,"Niigata, Niigata, Japan",,0.8081
1408426,Keitaro Motonaga,Keitaro Motonaga is a Japanese animation director.,,"日本, 東京都, 品川",,0.705
141130,Shigehiro Ozawa,Shigehiro Ozawa was a Japanese film director and screenwriter.,1922-08-29,"Shiga, Nagano, Japan",/7nreIUhJ0pwscxxYhb4bsjWXldm.jpg,2.7938
